year,marathon,country,finishers,mean_time
2005,Atlanta Marathon,US,607,250.83
2006,Atlanta Marathon,US,565,244.51
2007,Atlanta Marathon,US,474,252.65
2008,Atlanta Marathon,US,730,247.48
2009,Atlanta Marathon,US,825,249.83
2011,Atlanta Marathon,US,1126,271.8
2012,Atlanta Marathon,US,983,273.36
2013,Atlanta Marathon,US,980,272.62
2001,"Atlantic City
  Marathon",US,143,245.37
2002,"Atlantic City
  Marathon",US,128,257.94
2003,"Atlantic City
  Marathon",US,126,259.68
2004,"Atlantic City
  Marathon",US,96,250.58
2005,"Atlantic City
  Marathon",US,53,253.88
2006,"Atlantic City
  Marathon",US,92,270.26
2007,"Atlantic City
  Marathon",US,216,271.87
2008,"Atlantic City
  Marathon",US,247,264.99
2009,"Atlantic City
  Marathon",US,151,251.37
2010,"Atlantic City
  Marathon",US,502,261.15
2011,"Atlantic City
  Marathon",US,741,272.91
2012,"Atlantic City
  Marathon",US,693,264.75
2013,"Atlantic City
  Marathon",US,825,270.73
2005,Auburn Marathon,US,80,324.57
2006,Auburn Marathon,US,72,324.12
2001,Auckland Marathon,New Zealand,719,248.76
2002,Auckland Marathon,New Zealand,655,242.45
2003,Auckland Marathon,New Zealand,644,246.7
2004,Auckland Marathon,New Zealand,684,236.14
2005,Auckland Marathon,New Zealand,717,239.91
2006,Auckland Marathon,New Zealand,1048,249.13
2007,Auckland Marathon,New Zealand,986,240.8
2008,Auckland Marathon,New Zealand,1154,248.02
2009,Auckland Marathon,New Zealand,1858,255
2010,Auckland Marathon,New Zealand,2048,250.55
2011,Auckland Marathon,New Zealand,2309,263.08
2012,Auckland Marathon,New Zealand,2692,261.83
2013,Auckland Marathon,New Zealand,2603,259.1
2000,Austin Marathon,US,4052,249.52
2001,Austin Marathon,US,3940,257.1
2002,Austin Marathon,US,4436,258.8
2003,Austin Marathon,US,5008,261.49
2004,Austin Marathon,US,4917,264.76
2005,Austin Marathon,US,4961,272.48
2006,Austin Marathon,US,4789,261.09
2007,Austin Marathon,US,4549,265.19
2008,Austin Marathon,US,4835,269.13
2009,Austin Marathon,US,4056,269.77
2010,Austin Marathon,US,4049,272.77
2011,Austin Marathon,US,4824,280.49
2012,Austin Marathon,US,3898,269.31
2013,Austin Marathon,US,3548,273.95
2010,"Australian Outback
  Marathon",Australia,91,280.68
2011,"Australian Outback
  Marathon",Australia,82,281.9
2012,"Australian Outback
  Marathon",Australia,127,287.6
2013,"Australian Outback
  Marathon",Australia,93,292.18
2011,Autumn Color Run,US,18,279.7
2012,Autumn Color Run,US,27,297.86
2006,Avalon Park Marathon,US,55,272.68
2001,"Avenue of the Giants
  Marathon",US,662,273.69
2002,"Avenue of the Giants
  Marathon",US,758,273.51
2003,"Avenue of the Giants
  Marathon",US,596,273.28
2004,"Avenue of the Giants
  Marathon",US,537,274.85
