marathon,marathon_name,state_id,city,finishers,mean_time,lat,lng,elevation_m,date,month,day,year
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,367,276.23,38.8674,-104.7606,2338.32,2009-09-07,9,7,2009
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,377,273.14,38.8674,-104.7606,2338.32,2010-09-07,9,7,2010
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,840,264.26,38.8674,-104.7606,2338.32,2011-09-07,9,7,2011
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,399,271.51,38.8674,-104.7606,2338.32,2012-09-07,9,7,2012
"American Discovery
  Trail Marathon",American Discovery Trail Marathon,CO,Colorado Springs,440,267.69,38.8674,-104.7606,2338.32,2013-09-07,9,7,2013
Arkansas Marathon,Arkansas Marathon,AR,Booneville,100,261.39,35.1393,-93.9179,185.83,2001-10-10,10,10,2001
Arkansas Marathon,Arkansas Marathon,AR,Booneville,75,265.63,35.1393,-93.9179,185.83,2002-10-10,10,10,2002
Arkansas Marathon,Arkansas Marathon,AR,Booneville,28,278.77,35.1393,-93.9179,185.83,2003-10-10,10,10,2003
Arkansas Marathon,Arkansas Marathon,AR,Booneville,21,254.92,35.1393,-93.9179,185.83,2004-10-10,10,10,2004
Arkansas Marathon,Arkansas Marathon,AR,Booneville,32,280.46,35.1393,-93.9179,185.83,2005-10-10,10,10,2005
Arkansas Marathon,Arkansas Marathon,AR,Booneville,38,279.7,35.1393,-93.9179,185.83,2006-10-10,10,10,2006
Arkansas Marathon,Arkansas Marathon,AR,Booneville,37,272.02,35.1393,-93.9179,185.83,2007-10-10,10,10,2007
Arkansas Marathon,Arkansas Marathon,AR,Booneville,41,286.95,35.1393,-93.9179,185.83,2008-10-10,10,10,2008
Arkansas Marathon,Arkansas Marathon,AR,Booneville,31,288.18,35.1393,-93.9179,185.83,2009-10-10,10,10,2009
Arkansas Marathon,Arkansas Marathon,AR,Booneville,38,271.1,35.1393,-93.9179,185.83,2010-10-10,10,10,2010
Arkansas Marathon,Arkansas Marathon,AR,Booneville,23,269.63,35.1393,-93.9179,185.83,2011-10-10,10,10,2011
Arkansas Marathon,Arkansas Marathon,AR,Booneville,15,257.53,35.1393,-93.9179,185.83,2012-10-10,10,10,2012
Arkansas Marathon,Arkansas Marathon,AR,Booneville,17,286.02,35.1393,-93.9179,185.83,2013-10-10,10,10,2013
Aspen Valley Marathon,Aspen Valley Marathon,CO,Aspen,58,250.25,39.1948,-106.837,3075.49,2011-07-11,7,11,2011
Aspen Valley Marathon,Aspen Valley Marathon,CO,Aspen,145,264.22,39.1948,-106.837,3075.49,2012-07-11,7,11,2012
Aspen Valley Marathon,Aspen Valley Marathon,CO,Aspen,165,268.66,39.1948,-106.837,3075.49,2013-07-11,7,11,2013
Austin Marathon,Austin Marathon,TX,Austin,4052,249.52,30.3006,-97.7517,237.88,2000-02-16,2,16,2000
Austin Marathon,Austin Marathon,TX,Austin,3940,257.1,30.3006,-97.7517,237.88,2001-02-16,2,16,2001
Austin Marathon,Austin Marathon,TX,Austin,4436,258.8,30.3006,-97.7517,237.88,2002-02-16,2,16,2002
Austin Marathon,Austin Marathon,TX,Austin,5008,261.49,30.3006,-97.7517,237.88,2003-02-16,2,16,2003
Austin Marathon,Austin Marathon,TX,Austin,4917,264.76,30.3006,-97.7517,237.88,2004-02-16,2,16,2004
Austin Marathon,Austin Marathon,TX,Austin,4961,272.48,30.3006,-97.7517,237.88,2005-02-16,2,16,2005
Austin Marathon,Austin Marathon,TX,Austin,4789,261.09,30.3006,-97.7517,237.88,2006-02-16,2,16,2006
Austin Marathon,Austin Marathon,TX,Austin,4549,265.19,30.3006,-97.7517,237.88,2007-02-16,2,16,2007
Austin Marathon,Austin Marathon,TX,Austin,4835,269.13,30.3006,-97.7517,237.88,2008-02-16,2,16,2008
Austin Marathon,Austin Marathon,TX,Austin,4056,269.77,30.3006,-97.7517,237.88,2009-02-16,2,16,2009
Austin Marathon,Austin Marathon,TX,Austin,4049,272.77,30.3006,-97.7517,237.88,2010-02-16,2,16,2010
Austin Marathon,Austin Marathon,TX,Austin,4824,280.49,30.3006,-97.7517,237.88,2011-02-16,2,16,2011
Austin Marathon,Austin Marathon,TX,Austin,3898,269.31,30.3006,-97.7517,237.88,2012-02-16,2,16,2012
Austin Marathon,Austin Marathon,TX,Austin,3548,273.95,30.3006,-97.7517,237.88,2013-02-16,2,16,2013
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,662,273.69,44.0073,-88.8426,247.31,2001-05-03,5,3,2001
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,758,273.51,44.0073,-88.8426,247.31,2002-05-03,5,3,2002
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,596,273.28,44.0073,-88.8426,247.31,2003-05-03,5,3,2003
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,537,274.85,44.0073,-88.8426,247.31,2004-05-03,5,3,2004
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,542,271.69,44.0073,-88.8426,247.31,2005-05-03,5,3,2005
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,362,271.54,44.0073,-88.8426,247.31,2006-05-03,5,3,2006
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,322,276.09,44.0073,-88.8426,247.31,2007-05-03,5,3,2007
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,277,254.14,44.0073,-88.8426,247.31,2008-05-03,5,3,2008
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,415,270.12,44.0073,-88.8426,247.31,2009-05-03,5,3,2009
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,435,268.37,44.0073,-88.8426,247.31,2010-05-03,5,3,2010
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,566,271.05,44.0073,-88.8426,247.31,2011-05-03,5,3,2011
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,412,257.78,44.0073,-88.8426,247.31,2012-05-03,5,3,2012
"Avenue of the Giants
  Marathon",Avenue of the Giants Marathon,WI,Eureka,523,270.58,44.0073,-88.8426,247.31,2013-05-03,5,3,2013
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,215,247.59,39.087,-76.5687,58.57,2001-03-15,3,15,2001
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,221,247.56,39.087,-76.5687,58.57,2002-03-15,3,15,2002
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,250,251.83,39.087,-76.5687,58.57,2004-03-15,3,15,2004
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,219,254.46,39.087,-76.5687,58.57,2005-03-15,3,15,2005
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,246,251.46,39.087,-76.5687,58.57,2006-03-15,3,15,2006
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,147,243.15,39.087,-76.5687,58.57,2007-03-15,3,15,2007
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,240,246.1,39.087,-76.5687,58.57,2008-03-15,3,15,2008
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,255,249.62,39.087,-76.5687,58.57,2009-03-15,3,15,2009
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,266,257.62,39.087,-76.5687,58.57,2010-03-15,3,15,2010
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,253,256.75,39.087,-76.5687,58.57,2011-03-15,3,15,2011
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,329,254.81,39.087,-76.5687,58.57,2012-03-15,3,15,2012
"B&A Trail
  Marathon",B&A Trail Marathon,MD,Severna Park,181,251.36,39.087,-76.5687,58.57,2013-03-15,3,15,2013
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,4809,279.38,39.3051,-76.6144,147.54,2001-10-17,10,17,2001
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,2136,270.16,39.3051,-76.6144,147.54,2002-10-17,10,17,2002
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,2007,263.19,39.3051,-76.6144,147.54,2003-10-17,10,17,2003
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,2351,262.04,39.3051,-76.6144,147.54,2004-10-17,10,17,2004
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,2410,274.71,39.3051,-76.6144,147.54,2005-10-17,10,17,2005
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,2149,262.23,39.3051,-76.6144,147.54,2006-10-17,10,17,2006
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,2527,264.28,39.3051,-76.6144,147.54,2007-10-17,10,17,2007
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,3133,270.43,39.3051,-76.6144,147.54,2008-10-17,10,17,2008
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,3152,270.32,39.3051,-76.6144,147.54,2009-10-17,10,17,2009
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,3365,265.36,39.3051,-76.6144,147.54,2010-10-17,10,17,2010
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,3206,273.56,39.3051,-76.6144,147.54,2011-10-17,10,17,2011
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,3020,265.94,39.3051,-76.6144,147.54,2012-10-17,10,17,2012
Baltimore Marathon,Baltimore Marathon,MD,Baltimore,3120,274.22,39.3051,-76.6144,147.54,2013-10-17,10,17,2013
Bear Lake Marathon,Bear Lake Marathon,TX,Garden City,92,285.46,31.8674,-101.4864,788.36,2008-06-13,6,13,2008
Bear Lake Marathon,Bear Lake Marathon,TX,Garden City,92,288.26,31.8674,-101.4864,788.36,2009-06-13,6,13,2009
Bear Lake Marathon,Bear Lake Marathon,TX,Garden City,218,302.91,31.8674,-101.4864,788.36,2010-06-13,6,13,2010
Bear Lake Marathon,Bear Lake Marathon,TX,Garden City,119,307.28,31.8674,-101.4864,788.36,2011-06-13,6,13,2011
Bear Lake Marathon,Bear Lake Marathon,TX,Garden City,119,305.08,31.8674,-101.4864,788.36,2012-06-13,6,13,2012
Bear Lake Marathon,Bear Lake Marathon,TX,Garden City,156,311.07,31.8674,-101.4864,788.36,2013-06-13,6,13,2013
Bearfest,Bearfest,AK,Wrangell,13,288.81,56.3317,-132.0223,483.57,2011-07-26,7,26,2011
Bearfest,Bearfest,AK,Wrangell,18,260.45,56.3317,-132.0223,483.57,2012-07-26,7,26,2012
Bearfest,Bearfest,AK,Wrangell,15,331.77,56.3317,-132.0223,483.57,2013-07-26,7,26,2013
"Bellingham Bay
  Marathon",Bellingham Bay Marathon,WA,Bellingham,401,268.23,48.7543,-122.4687,110.86,2010-09-27,9,27,2010
"Bellingham Bay
  Marathon",Bellingham Bay Marathon,WA,Bellingham,443,269.79,48.7543,-122.4687,110.86,2011-09-27,9,27,2011
"Bellingham Bay
  Marathon",Bellingham Bay Marathon,WA,Bellingham,425,259.39,48.7543,-122.4687,110.86,2012-09-27,9,27,2012
"Bellingham Bay
  Marathon",Bellingham Bay Marathon,WA,Bellingham,373,264.05,48.7543,-122.4687,110.86,2013-09-27,9,27,2013
Berryman Marathon,Berryman Marathon,WI,Potosi,87,362.74,42.6875,-90.7107,263.56,2006-05-16,5,16,2006
Berryman Marathon,Berryman Marathon,WI,Potosi,84,357.11,42.6875,-90.7107,263.56,2007-05-16,5,16,2007
Berryman Marathon,Berryman Marathon,WI,Potosi,109,358.43,42.6875,-90.7107,263.56,2008-05-16,5,16,2008
Berryman Marathon,Berryman Marathon,WI,Potosi,67,358.23,42.6875,-90.7107,263.56,2009-05-16,5,16,2009
Berryman Marathon,Berryman Marathon,WI,Potosi,154,349.24,42.6875,-90.7107,263.56,2010-05-16,5,16,2010
Berryman Marathon,Berryman Marathon,WI,Potosi,76,357.03,42.6875,-90.7107,263.56,2011-05-16,5,16,2011
Berryman Marathon,Berryman Marathon,WI,Potosi,57,357.68,42.6875,-90.7107,263.56,2012-05-16,5,16,2012
Berryman Marathon,Berryman Marathon,WI,Potosi,64,363.79,42.6875,-90.7107,263.56,2013-05-16,5,16,2013
Big Elk Marathon,Big Sky Marathon,TX,Ennis,50,331.5,32.3239,-96.6377,156.71,2013-07-19,7,19,2013
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,45,266.85,19.6886,-155.0864,581.65,2002-03-15,3,15,2002
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,107,262.11,19.6886,-155.0864,581.65,2003-03-15,3,15,2003
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,191,275.7,19.6886,-155.0864,581.65,2004-03-15,3,15,2004
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,151,275.64,19.6886,-155.0864,581.65,2005-03-15,3,15,2005
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,147,280.32,19.6886,-155.0864,581.65,2006-03-15,3,15,2006
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,208,276.53,19.6886,-155.0864,581.65,2007-03-15,3,15,2007
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,231,272.16,19.6886,-155.0864,581.65,2008-03-15,3,15,2008
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,192,278.47,19.6886,-155.0864,581.65,2009-03-15,3,15,2009
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,390,272.54,19.6886,-155.0864,581.65,2010-03-15,3,15,2010
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,180,282.78,19.6886,-155.0864,581.65,2011-03-15,3,15,2011
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,227,286.18,19.6886,-155.0864,581.65,2012-03-15,3,15,2012
"Big Island
  International Marathon",Big Island International Marathon,HI,Hilo,205,285.97,19.6886,-155.0864,581.65,2013-03-15,3,15,2013
Birch Bay Marathon,Birch Bay Marathon,WA,Birch Bay,28,240.74,48.923,-122.7543,-4.17,2003-02-16,2,16,2003
Birch Bay Marathon,Birch Bay Marathon,WA,Birch Bay,20,257.11,48.923,-122.7543,-4.17,2004-02-16,2,16,2004
Birch Bay Marathon,Birch Bay Marathon,WA,Birch Bay,32,221.5,48.923,-122.7543,-4.17,2005-02-16,2,16,2005
Birch Bay Marathon,Birch Bay Marathon,WA,Birch Bay,44,231.16,48.923,-122.7543,-4.17,2006-02-16,2,16,2006
Birch Bay Marathon,Birch Bay Marathon,WA,Birch Bay,53,237.98,48.923,-122.7543,-4.17,2007-02-16,2,16,2007
Birch Bay Marathon,Birch Bay Marathon,WA,Birch Bay,69,244.93,48.923,-122.7543,-4.17,2008-02-16,2,16,2008
Birch Bay Marathon,Birch Bay Marathon,WA,Birch Bay,69,244.88,48.923,-122.7543,-4.17,2009-02-16,2,16,2009
Birch Bay Marathon,Birch Bay Marathon,WA,Birch Bay,93,249.83,48.923,-122.7543,-4.17,2010-02-16,2,16,2010
Birch Bay Marathon,Birch Bay Marathon,WA,Birch Bay,95,255.53,48.923,-122.7543,-4.17,2011-02-16,2,16,2011
Birch Bay Marathon,Birch Bay Marathon,WA,Birch Bay,117,269.89,48.923,-122.7543,-4.17,2012-02-16,2,16,2012
