age,gender,chiptime,year,marathon,country,finishers
44,NA,255.0833,2011,Jerusalem Marathon,Israel,841
33,NA,255.15,2011,Jerusalem Marathon,Israel,841
37,NA,255.3833,2011,Jerusalem Marathon,Israel,841
32,NA,255.3833,2011,Jerusalem Marathon,Israel,841
38,NA,255.45,2011,Jerusalem Marathon,Israel,841
23,NA,255.4833,2011,Jerusalem Marathon,Israel,841
48,NA,255.75,2011,Jerusalem Marathon,Israel,841
36,NA,255.9,2011,Jerusalem Marathon,Israel,841
33,NA,255.9,2011,Jerusalem Marathon,Israel,841
60,NA,256,2011,Jerusalem Marathon,Israel,841
51,NA,256.0333,2011,Jerusalem Marathon,Israel,841
70,NA,256.1167,2011,Jerusalem Marathon,Israel,841
54,NA,256.2167,2011,Jerusalem Marathon,Israel,841
40,NA,256.3,2011,Jerusalem Marathon,Israel,841
25,NA,256.4667,2011,Jerusalem Marathon,Israel,841
57,NA,256.5333,2011,Jerusalem Marathon,Israel,841
19,NA,256.5667,2011,Jerusalem Marathon,Israel,841
32,NA,256.5833,2011,Jerusalem Marathon,Israel,841
57,NA,256.6,2011,Jerusalem Marathon,Israel,841
39,NA,256.7,2011,Jerusalem Marathon,Israel,841
41,NA,256.9,2011,Jerusalem Marathon,Israel,841
38,NA,257.05,2011,Jerusalem Marathon,Israel,841
27,NA,257.1833,2011,Jerusalem Marathon,Israel,841
64,NA,257.2667,2011,Jerusalem Marathon,Israel,841
19,NA,257.3,2011,Jerusalem Marathon,Israel,841
20,NA,257.3167,2011,Jerusalem Marathon,Israel,841
38,NA,257.5333,2011,Jerusalem Marathon,Israel,841
20,NA,257.5667,2011,Jerusalem Marathon,Israel,841
46,NA,258.0833,2011,Jerusalem Marathon,Israel,841
51,NA,258.2,2011,Jerusalem Marathon,Israel,841
41,NA,258.3167,2011,Jerusalem Marathon,Israel,841
63,NA,258.3333,2011,Jerusalem Marathon,Israel,841
52,NA,258.6,2011,Jerusalem Marathon,Israel,841
54,NA,258.8,2011,Jerusalem Marathon,Israel,841
28,NA,258.8,2011,Jerusalem Marathon,Israel,841
52,NA,258.8333,2011,Jerusalem Marathon,Israel,841
42,NA,259.0333,2011,Jerusalem Marathon,Israel,841
23,NA,259.05,2011,Jerusalem Marathon,Israel,841
44,NA,259.1667,2011,Jerusalem Marathon,Israel,841
