number,first,last
6000,6,0
595,5,5
26988,2,8
2554,2,4
1175,1,5
11120,1,0
59990,5,0
1200,1,0
1.2413899999999998,1,9
9000,9,0
4197,4,7
46758,4,8
15795,1,5
15148,1,8
1.59338,1,8
21564,2,4
28764,2,4
28980,2,0
8340,8,0
92418,9,8
17343,1,3
9799,9,9
13531,1,1
69500,6,0
57500,5,0
30000,3,0
3370,3,0
16708,1,8
65797,6,7
13600,1,0
29900,2,0
1.0496199999999998,1,2
2064,2,4
12375,1,5
46993,4,3
71789,7,9
12500,1,0
28949,2,9
62171,6,1
33850,3,0
33850,3,0
22000,2,0
26700,2,0
22000,2,0
33850,3,0
52525,5,5
52525,5,5
8240,8,0
53625,5,5
68175,6,5
2348,2,8
4922,4,2
5890,5,0
17646,1,6
5919,5,9
67599,6,9
12902,1,2
44800,4,0
5997,5,7
55675,5,5
55675,5,5
55675,5,5
55675,5,5
55675,5,5
55675,5,5
55675,5,5
55675,5,5
3548,3,8
9269,9,9
9269,9,9
12591,1,1
10760,1,0
595,5,5
5545,5,5
3999,3,9
1.63328,1,8
680,6,0
60967,6,7
19900,1,0
19900,1,0
19900,1,0
19900,1,0
19900,1,0
22772,2,2
98080,9,0
4924,4,4
13538,1,8
1.784,1,4
13350,1,0
4998,4,8
49900,4,0
1.65842,1,2
7436,7,6
1797,1,7
2.014,2,4
49445,4,5
2.3206499999999997,2,5
2070,2,0
6405,6,5
51000,5,0
5994,5,4
2178,2,8
18450,1,0
3405,3,5
8990,8,0
27500,2,0
23142,2,2
15445,1,5
12700,1,0
16900,1,0
13650,1,0
1.2827199999999999,1,2
1.9343599999999999,1,6
20565,2,5
50235,5,5
58490,5,0
1.42,1,2
15000,1,0
46000,4,0
11475,1,5
1.10854,1,4
1.1,1,1
18600,1,0
2195,2,5
156,1,6
6973,6,3
14663,1,3
12990,1,0
27750,2,0
23660,2,0
15300,1,0
32500,3,0
17800,1,0
1.10693,1,3
84989,8,9
10805,1,5
6375,6,5
35500,3,0
3494,3,4
20462,2,2
20500,2,0
995,9,5
5070,5,0
5758,5,8
4900,4,0
1900,1,0
7615,7,5
2564,2,4
32995,3,5
2487,2,7
