country,city,location,number,first,last
US,Fairwood,"Washington, King",19531,1,1
US,Winlock,"Washington, Lewis",1354,1,4
US,Sumner,"Washington, Pierce",10093,1,3
US,Cottage Lake,"Washington, King",23941,2,1
US,Puget Island,"Washington, Wahkiakum",899,8,9
US,Woods Creek,"Washington, Snohomish",5826,5,6
US,Washougal,"Washington, Clark",15711,1,1
US,Sisco Heights,"Washington, Snohomish",2810,2,0
US,Canterwood,"Washington, Pierce",3220,3,0
US,Wapato,"Washington, Yakima",7686,7,6
US,Lower Elochoman,"Washington, Wahkiakum",160,1,0
US,Lake Goodwin,"Washington, Snohomish",3879,3,9
US,Banks Lake South,"Washington, Grant",270,2,0
US,Kent,"Washington, King",128458,1,8
US,Bickleton,"Washington, Klickitat",67,6,7
US,Ryderwood,"Washington, Cowlitz",332,3,2
US,Cavalero,"Washington, Snohomish",5284,5,4
US,La Conner,"Washington, Skagit",3475,3,5
US,Martha Lake,"Washington, Snohomish",18566,1,6
US,George,"Washington, Grant",507,5,7
US,Snohomish,"Washington, Snohomish",10089,1,9
US,Eatonville,"Washington, Pierce",3038,3,8
US,Carson,"Washington, Skamania",2688,2,8
US,Almira,"Washington, Lincoln",276,2,6
US,Nooksack,"Washington, Whatcom",1560,1,0
US,Mount Vista,"Washington, Clark",8525,8,5
US,High Bridge,"Washington, Snohomish",3028,3,8
US,Lakeland South,"Washington, King",13982,1,2
US,Kenmore,"Washington, King",22867,2,7
US,Neah Bay,"Washington, Clallam",994,9,4
US,Cliffdell,"Washington, Yakima",80,8,0
US,Port Angeles East,"Washington, Clallam",3627,3,7
US,Burien,"Washington, King",51671,5,1
US,Taholah,"Washington, Grays Harbor",714,7,4
US,Wauna,"Washington, Pierce",4412,4,2
US,Connell,"Washington, Franklin",5360,5,0
US,Disautel,"Washington, Okanogan",22,2,2
US,Santiago,"Washington, Grays Harbor",26,2,6
US,Orting,"Washington, Pierce",7983,7,3
US,Colville,"Washington, Stevens",5064,5,4
US,Marysville,"Washington, Snohomish",166541,1,1
US,Walla Walla,"Washington, Walla Walla",57779,5,9
US,Zillah,"Washington, Yakima",3125,3,5
US,Curlew,"Washington, Ferry",149,1,9
US,Key Center,"Washington, Pierce",3810,3,0
US,Hoodsport,"Washington, Mason",331,3,1
US,Spanaway,"Washington, Pierce",30528,3,8
US,Mattawa,"Washington, Grant",5122,5,2
US,Clallam Bay,"Washington, Clallam",366,3,6
US,Prairie Ridge,"Washington, Pierce",12733,1,3
US,Rockport,"Washington, Skagit",76,7,6
US,Stansberry Lake,"Washington, Pierce",2747,2,7
US,Copalis Beach,"Washington, Grays Harbor",559,5,9
US,Frederickson,"Washington, Pierce",21737,2,7
US,Asotin,"Washington, Asotin",1295,1,5
US,Mill Creek,"Washington, Snohomish",20832,2,2
US,Bell Hill,"Washington, Clallam",875,8,5
US,Green Bluff,"Washington, Spokane",544,5,4
US,Clayton,"Washington, Stevens",361,3,1
US,Puyallup,"Washington, Pierce",41001,4,1
US,Hockinson,"Washington, Clark",5267,5,7
US,Lake McMurray,"Washington, Skagit",134,1,4
US,Bucoda,"Washington, Thurston",583,5,3
US,Issaquah,"Washington, King",37487,3,7
US,Odessa,"Washington, Lincoln",876,8,6
US,Hazel Dell,"Washington, Clark",21449,2,9
US,McMillin,"Washington, Pierce",1673,1,3
US,Wilbur,"Washington, Lincoln",839,8,9
US,Skamokawa Valley,"Washington, Wahkiakum",300,3,0
US,Centerville,"Washington, Klickitat",109,1,9
US,Nile,"Washington, Yakima",98,9,8
US,Spokane Valley,"Washington, Spokane",97847,9,7
US,Woodland,"Washington, Cowlitz",6531,6,1
US,Lewisville,"Washington, Clark",1503,1,3
US,Vantage,"Washington, Kittitas",18,1,8
US,Gorst,"Washington, Kitsap",257,2,7
US,Lake Morton-Berrydale,"Washington, King",11201,1,1
US,Ione,"Washington, Pend Oreille",459,4,9
US,Bothell West,"Washington, Snohomish",20472,2,2
US,Vaughn,"Washington, Pierce",342,3,2
US,Black Diamond,"Washington, King",4436,4,6
US,Ferndale,"Washington, Whatcom",14026,1,6
US,Acme,"Washington, Whatcom",183,1,3
US,White Center,"Washington, King",15300,1,0
US,Fairchild AFB,"Washington, Spokane",2960,2,0
US,Pacific,"Washington, King",7184,7,4
US,Glenwood,"Washington, Klickitat",157,1,7
US,Colfax,"Washington, Whitman",2811,2,1
US,Silvana,"Washington, Snohomish",0,0,0
US,Forks,"Washington, Clallam",4274,4,4
US,Kirkland,"Washington, King",88630,8,0
US,Okanogan,"Washington, Okanogan",2571,2,1
US,Kayak Point,"Washington, Snohomish",1693,1,3
US,Union Hill-Novelty Hill,"Washington, King",22109,2,9
US,Outlook,"Washington, Yakima",300,3,0
US,Lake Tapps,"Washington, Pierce",13091,1,1
US,Cohassett Beach,"Washington, Grays Harbor",712,7,2
US,Tonasket,"Washington, Okanogan",1126,1,6
US,Sunnyside,"Washington, Yakima",17927,1,7
US,Lakeview,"Washington, Grant",881,8,1
US,Carbonado,"Washington, Pierce",701,7,1
US,Pullman,"Washington, Whitman",33276,3,6
US,Blyn,"Washington, Clallam",22,2,2
US,Brinnon,"Washington, Jefferson",703,7,3
US,Friday Harbor,"Washington, San Juan",2407,2,7
US,Orchards,"Washington, Clark",21299,2,9
US,Purdy,"Washington, Pierce",1087,1,7
US,Tekoa,"Washington, Whitman",809,8,9
US,Tanner,"Washington, King",905,9,5
US,Thorp,"Washington, Kittitas",297,2,7
US,Artondale,"Washington, Pierce",12937,1,7
US,Liberty Lake,"Washington, Spokane",9893,9,3
US,Cheney,"Washington, Spokane",12421,1,1
US,Sammamish,"Washington, King",64548,6,8
US,Cle Elum,"Washington, Kittitas",3768,3,8
US,Fern Prairie,"Washington, Clark",2611,2,1
US,Waverly,"Washington, Spokane",108,1,8
US,Lakewood,"Washington, Pierce",60296,6,6
US,Lake Marcel-Stillwater,"Washington, King",1220,1,0
US,Central Park,"Washington, Grays Harbor",2741,2,1
US,Bridgeport,"Washington, Douglas",2555,2,5
US,Raft Island,"Washington, Pierce",341,3,1
US,Larch Way,"Washington, Snohomish",4117,4,7
US,Lake Bosworth,"Washington, Snohomish",654,6,4
US,Barberton,"Washington, Clark",6719,6,9
US,Sekiu,"Washington, Clallam",50,5,0
US,Brier,"Washington, Snohomish",6884,6,4
US,Spokane,"Washington, Spokane",403043,4,3
US,Fall City,"Washington, King",1903,1,3
US,Pasco,"Washington, Franklin",73013,7,3
US,Lyman,"Washington, Skagit",468,4,8
US,Oakville,"Washington, Grays Harbor",684,6,4
US,Dash Point,"Washington, Pierce",1007,1,7
US,Herron Island,"Washington, Pierce",69,6,9
US,West Clarkston-Highland,"Washington, Asotin",5895,5,5
US,Royal City,"Washington, Grant",2205,2,5
US,Venersborg,"Washington, Clark",4196,4,6
US,Hoquiam,"Washington, Grays Harbor",8500,8,0
US,Willapa,"Washington, Pacific",204,2,4
US,Quilcene,"Washington, Jefferson",432,4,2
US,Freeland,"Washington, Island",1698,1,8
US,McCleary,"Washington, Grays Harbor",1691,1,1
