city,location,number,first,last
Banks Lake South,"Washington, Grant",270,2,0
Kent,"Washington, King",128458,1,8
Bickleton,"Washington, Klickitat",67,6,7
Ryderwood,"Washington, Cowlitz",332,3,2
Cavalero,"Washington, Snohomish",5284,5,4
La Conner,"Washington, Skagit",3475,3,5
Martha Lake,"Washington, Snohomish",18566,1,6
George,"Washington, Grant",507,5,7
Snohomish,"Washington, Snohomish",10089,1,9
Eatonville,"Washington, Pierce",3038,3,8
Carson,"Washington, Skamania",2688,2,8
Almira,"Washington, Lincoln",276,2,6
Nooksack,"Washington, Whatcom",1560,1,0
Mount Vista,"Washington, Clark",8525,8,5
High Bridge,"Washington, Snohomish",3028,3,8
Lakeland South,"Washington, King",13982,1,2
Kenmore,"Washington, King",22867,2,7
Neah Bay,"Washington, Clallam",994,9,4
Cliffdell,"Washington, Yakima",80,8,0
Port Angeles East,"Washington, Clallam",3627,3,7
Burien,"Washington, King",51671,5,1
Taholah,"Washington, Grays Harbor",714,7,4
Wauna,"Washington, Pierce",4412,4,2
Connell,"Washington, Franklin",5360,5,0
Disautel,"Washington, Okanogan",22,2,2
Santiago,"Washington, Grays Harbor",26,2,6
Orting,"Washington, Pierce",7983,7,3
Colville,"Washington, Stevens",5064,5,4
Marysville,"Washington, Snohomish",166541,1,1
Walla Walla,"Washington, Walla Walla",57779,5,9
Zillah,"Washington, Yakima",3125,3,5
Curlew,"Washington, Ferry",149,1,9
Key Center,"Washington, Pierce",3810,3,0
Hoodsport,"Washington, Mason",331,3,1
Spanaway,"Washington, Pierce",30528,3,8
Mattawa,"Washington, Grant",5122,5,2
Clallam Bay,"Washington, Clallam",366,3,6
Prairie Ridge,"Washington, Pierce",12733,1,3
Rockport,"Washington, Skagit",76,7,6
Stansberry Lake,"Washington, Pierce",2747,2,7
Copalis Beach,"Washington, Grays Harbor",559,5,9
Frederickson,"Washington, Pierce",21737,2,7
Asotin,"Washington, Asotin",1295,1,5
Mill Creek,"Washington, Snohomish",20832,2,2
Bell Hill,"Washington, Clallam",875,8,5
Green Bluff,"Washington, Spokane",544,5,4
Clayton,"Washington, Stevens",361,3,1
Puyallup,"Washington, Pierce",41001,4,1
Hockinson,"Washington, Clark",5267,5,7
Lake McMurray,"Washington, Skagit",134,1,4
Bucoda,"Washington, Thurston",583,5,3
Issaquah,"Washington, King",37487,3,7
Odessa,"Washington, Lincoln",876,8,6
Hazel Dell,"Washington, Clark",21449,2,9
McMillin,"Washington, Pierce",1673,1,3
Wilbur,"Washington, Lincoln",839,8,9
Skamokawa Valley,"Washington, Wahkiakum",300,3,0
Centerville,"Washington, Klickitat",109,1,9
Nile,"Washington, Yakima",98,9,8
Spokane Valley,"Washington, Spokane",97847,9,7
Woodland,"Washington, Cowlitz",6531,6,1
Lewisville,"Washington, Clark",1503,1,3
Vantage,"Washington, Kittitas",18,1,8
Gorst,"Washington, Kitsap",257,2,7
Lake Morton-Berrydale,"Washington, King",11201,1,1
Ione,"Washington, Pend Oreille",459,4,9
Bothell West,"Washington, Snohomish",20472,2,2
Vaughn,"Washington, Pierce",342,3,2
Black Diamond,"Washington, King",4436,4,6
Ferndale,"Washington, Whatcom",14026,1,6
Acme,"Washington, Whatcom",183,1,3
White Center,"Washington, King",15300,1,0
Fairchild AFB,"Washington, Spokane",2960,2,0
Pacific,"Washington, King",7184,7,4
Glenwood,"Washington, Klickitat",157,1,7
Colfax,"Washington, Whitman",2811,2,1
Silvana,"Washington, Snohomish",0,0,0
Forks,"Washington, Clallam",4274,4,4
Kirkland,"Washington, King",88630,8,0
Okanogan,"Washington, Okanogan",2571,2,1
Kayak Point,"Washington, Snohomish",1693,1,3
Union Hill-Novelty Hill,"Washington, King",22109,2,9
Outlook,"Washington, Yakima",300,3,0
Lake Tapps,"Washington, Pierce",13091,1,1
Cohassett Beach,"Washington, Grays Harbor",712,7,2
Tonasket,"Washington, Okanogan",1126,1,6
Sunnyside,"Washington, Yakima",17927,1,7
Lakeview,"Washington, Grant",881,8,1
Carbonado,"Washington, Pierce",701,7,1
Pullman,"Washington, Whitman",33276,3,6
Blyn,"Washington, Clallam",22,2,2
Brinnon,"Washington, Jefferson",703,7,3
Friday Harbor,"Washington, San Juan",2407,2,7
Orchards,"Washington, Clark",21299,2,9
Purdy,"Washington, Pierce",1087,1,7
Tekoa,"Washington, Whitman",809,8,9
Tanner,"Washington, King",905,9,5
Thorp,"Washington, Kittitas",297,2,7
Artondale,"Washington, Pierce",12937,1,7
Liberty Lake,"Washington, Spokane",9893,9,3
Cheney,"Washington, Spokane",12421,1,1
Sammamish,"Washington, King",64548,6,8
Cle Elum,"Washington, Kittitas",3768,3,8
Fern Prairie,"Washington, Clark",2611,2,1
Waverly,"Washington, Spokane",108,1,8
Lakewood,"Washington, Pierce",60296,6,6
Lake Marcel-Stillwater,"Washington, King",1220,1,0
Central Park,"Washington, Grays Harbor",2741,2,1
Bridgeport,"Washington, Douglas",2555,2,5
Raft Island,"Washington, Pierce",341,3,1
Larch Way,"Washington, Snohomish",4117,4,7
Lake Bosworth,"Washington, Snohomish",654,6,4
Barberton,"Washington, Clark",6719,6,9
Sekiu,"Washington, Clallam",50,5,0
Brier,"Washington, Snohomish",6884,6,4
Spokane,"Washington, Spokane",403043,4,3
Fall City,"Washington, King",1903,1,3
Pasco,"Washington, Franklin",73013,7,3
Lyman,"Washington, Skagit",468,4,8
Oakville,"Washington, Grays Harbor",684,6,4
Dash Point,"Washington, Pierce",1007,1,7
Herron Island,"Washington, Pierce",69,6,9
West Clarkston-Highland,"Washington, Asotin",5895,5,5
Royal City,"Washington, Grant",2205,2,5
Venersborg,"Washington, Clark",4196,4,6
