city,location,number,first,last
Ellisville,"Illinois, Fulton",92,9,2
Brimfield,"Illinois, Peoria",842,8,2
Nebo,"Illinois, Pike",327,3,7
Middletown,"Illinois, Logan",308,3,8
Malta,"Illinois, DeKalb",1160,1,0
Canton,"Illinois, Fulton",13972,1,2
Spring Valley,"Illinois, Bureau",5239,5,9
Gulf Port,"Illinois, Henderson",50,5,0
Normal,"Illinois, McLean",54284,5,4
Mendota,"Illinois, LaSalle",6929,6,9
Sherman,"Illinois, Sangamon",4701,4,1
Fox Lake,"Illinois, Lake",10554,1,4
Rankin,"Illinois, Vermilion",532,5,2
Steeleville,"Illinois, Randolph",3256,3,6
Glen Ellyn,"Illinois, DuPage",28045,2,5
Long Creek,"Illinois, Macon",1288,1,8
Riverwoods,"Illinois, Lake",3626,3,6
Floraville,"Illinois, St. Clair",0,0,0
Madison,"Illinois, Madison",3823,3,3
Percy,"Illinois, Randolph",930,9,0
Troy,"Illinois, Madison",10176,1,6
Fithian,"Illinois, Vermilion",465,4,5
Opdyke,"Illinois, Jefferson",187,1,7
Tower Lakes,"Illinois, Lake",1250,1,0
Neoga,"Illinois, Cumberland",1625,1,5
Lansing,"Illinois, Cook",27962,2,2
Mound City,"Illinois, Pulaski",524,5,4
Bourbonnais,"Illinois, Kankakee",18420,1,0
Fairview,"Illinois, Fulton",483,4,3
New Lenox,"Illinois, Will",26575,2,5
Rolling Meadows,"Illinois, Cook",23988,2,8
Foosland,"Illinois, Champaign",100,1,0
Harvel,"Illinois, Montgomery",214,2,4
Cedar Point,"Illinois, LaSalle",261,2,1
Pana,"Illinois, Christian",5612,5,2
Varna,"Illinois, Marshall",358,3,8
Wood Dale,"Illinois, DuPage",13798,1,8
Wenonah,"Illinois, Montgomery",35,3,5
Davis Junction,"Illinois, Ogle",2546,2,6
Tallula,"Illinois, Menard",473,4,3
Hennepin,"Illinois, Putnam",707,7,7
Mill Creek,"Illinois, Union",64,6,4
Forest View,"Illinois, Cook",687,6,7
Harvey,"Illinois, Cook",24908,2,8
Knoxville,"Illinois, Knox",2795,2,5
Herscher,"Illinois, Kankakee",1525,1,5
Gilson,"Illinois, Knox",158,1,8
Forest Park,"Illinois, Cook",13951,1,1
Clayton,"Illinois, Adams",735,7,5
Marietta,"Illinois, Fulton",109,1,9
Griggsville,"Illinois, Pike",1163,1,3
Como,"Illinois, Whiteside",538,5,8
Harristown,"Illinois, Macon",1307,1,7
New Bedford,"Illinois, Bureau",71,7,1
Hopewell,"Illinois, Marshall",404,4,4
Holiday Hills,"Illinois, McHenry",582,5,2
Ohlman,"Illinois, Montgomery",128,1,8
Libertyville,"Illinois, Lake",20490,2,0
Colona,"Illinois, Henry",5133,5,3
Iola,"Illinois, Clay",135,1,5
Polo,"Illinois, Ogle",2213,2,3
Cornland,"Illinois, Logan",82,8,2
Olivet,"Illinois, Vermilion",411,4,1
Barry,"Illinois, Pike",1263,1,3
Mark,"Illinois, Putnam",537,5,7
Lisle,"Illinois, DuPage",22912,2,2
Langleyville,"Illinois, Christian",349,3,9
Ellis Grove,"Illinois, Randolph",348,3,8
Broadlands,"Illinois, Champaign",346,3,6
Kappa,"Illinois, Woodford",232,2,2
Washington,"Illinois, Tazewell",16811,1,1
Ringwood,"Illinois, McHenry",820,8,0
South Chicago Heights,"Illinois, Cook",4085,4,5
La Fayette,"Illinois, Stark",203,2,3
Palos Hills,"Illinois, Cook",17358,1,8
Elgin,"Illinois, Kane",112456,1,6
Kincaid,"Illinois, Christian",1410,1,0
Crab Orchard,"Illinois, Williamson",273,2,3
Russellville,"Illinois, Lawrence",87,8,7
Oakwood,"Illinois, Vermilion",1532,1,2
Media,"Illinois, Henderson",96,9,6
Annapolis,"Illinois, Crawford",29,2,9
Alsip,"Illinois, Cook",19079,1,9
Sterling,"Illinois, Whiteside",27695,2,5
Noble,"Illinois, Richland",660,6,0
Crest Hill,"Illinois, Will",21175,2,5
Du Quoin,"Illinois, Perry",6150,6,0
Lake Summerset,"Illinois, Winnebago",1823,1,3
Paderborn,"Illinois, St. Clair",78,7,8
Wellington,"Illinois, Iroquois",222,2,2
Eureka,"Illinois, Woodford",5614,5,4
Limestone,"Illinois, Kankakee",1541,1,1
Scott AFB,"Illinois, St. Clair",2913,2,3
Round Lake Park,"Illinois, Lake",7704,7,4
Monee,"Illinois, Will",5119,5,9
Harrison,"Illinois, Jackson",862,8,2
Somonauk,"Illinois, DeKalb",1881,1,1
Milledgeville,"Illinois, Carroll",966,9,6
Baldwin,"Illinois, Randolph",349,3,9
Darien,"Illinois, DuPage",22061,2,1
Sheldon,"Illinois, Iroquois",988,9,8
Ford Heights,"Illinois, Cook",2731,2,1
Hecker,"Illinois, Monroe",478,4,8
Barrington Hills,"Illinois, Cook",4219,4,9
Mount Zion,"Illinois, Macon",5820,5,0
East St. Louis,"Illinois, St. Clair",26662,2,2
Ladd,"Illinois, Bureau",1218,1,8
East Cape Girardeau,"Illinois, Alexander",313,3,3
Zion,"Illinois, Lake",23952,2,2
Virginia,"Illinois, Cass",1476,1,6
New Holland,"Illinois, Logan",259,2,9
Mount Erie,"Illinois, Wayne",87,8,7
Carrollton,"Illinois, Greene",2441,2,1
Chandlerville,"Illinois, Cass",507,5,7
Karnak,"Illinois, Pulaski",450,4,0
Mapleton,"Illinois, Peoria",273,2,3
Kenney,"Illinois, De Witt",315,3,5
Maunie,"Illinois, White",133,1,3
Ridott,"Illinois, Stephenson",156,1,6
Apple River,"Illinois, Jo Daviess",350,3,0
Cisco,"Illinois, Piatt",250,2,0
Pittsburg,"Illinois, Williamson",561,5,1
Teutopolis,"Illinois, Effingham",1588,1,8
Curran,"Illinois, Sangamon",206,2,6
Lebanon,"Illinois, St. Clair",4417,4,7
Glenwood,"Illinois, Cook",8880,8,0
Detroit,"Illinois, Pike",79,7,9
Lockport,"Illinois, Will",25434,2,4
Bellevue,"Illinois, Peoria",1962,1,2
Colfax,"Illinois, McLean",1026,1,6
Stone Park,"Illinois, Cook",4892,4,2
Phoenix,"Illinois, Cook",1948,1,8
Jeisyville,"Illinois, Christian",103,1,3
Henderson,"Illinois, Knox",245,2,5
New Douglas,"Illinois, Madison",310,3,0
Prestbury,"Illinois, Kane",1655,1,5
Boulder Hill,"Illinois, Kendall",8973,8,3
Kirkland,"Illinois, DeKalb",1723,1,3
Metropolis,"Illinois, Massac",6198,6,8
Beardstown,"Illinois, Cass",5951,5,1
Golden Gate,"Illinois, Wayne",67,6,7
Ridgway,"Illinois, Gallatin",790,7,0
Basco,"Illinois, Hancock",91,9,1
Brighton,"Illinois, Macoupin",2151,2,1
New Grand Chain,"Illinois, Pulaski",189,1,9
Industry,"Illinois, McDonough",449,4,9
Topeka,"Illinois, Mason",71,7,1
New Minden,"Illinois, Washington",207,2,7
Cambridge,"Illinois, Henry",2099,2,9
Essex,"Illinois, Kankakee",771,7,1
Hidalgo,"Illinois, Jasper",107,1,7
Port Byron,"Illinois, Rock Island",1639,1,9
Royalton,"Illinois, Franklin",1126,1,6
Ferris,"Illinois, Hancock",146,1,6
Buda,"Illinois, Bureau",510,5,0
Henning,"Illinois, Vermilion",238,2,8
Ashmore,"Illinois, Coles",759,7,9
Pawnee,"Illinois, Sangamon",2802,2,2
Morrison,"Illinois, Whiteside",4022,4,2
Witt,"Illinois, Montgomery",858,8,8
Hanover,"Illinois, Jo Daviess",784,7,4
New Boston,"Illinois, Mercer",651,6,1
Kinderhook,"Illinois, Pike",209,2,9
Ewing,"Illinois, Franklin",301,3,1
Tiskilwa,"Illinois, Bureau",778,7,8
Sleepy Hollow,"Illinois, Kane",3313,3,3
Grantfork,"Illinois, Madison",332,3,2
Stanford,"Illinois, McLean",586,5,6
Milan,"Illinois, Rock Island",5061,5,1
Kinsman,"Illinois, Grundy",94,9,4
Abingdon,"Illinois, Knox",3191,3,1
Collinsville,"Illinois, Madison",24703,2,3
Lake Petersburg,"Illinois, Menard",574,5,4
Salem,"Illinois, Marion",7954,7,4
Lake Holiday,"Illinois, LaSalle",4562,4,2
Sauk Village,"Illinois, Cook",10452,1,2
Jerseyville,"Illinois, Jersey",8777,8,7
Heritage Lake,"Illinois, Tazewell",1478,1,8
Wayne City,"Illinois, Wayne",1021,1,1
Virden,"Illinois, Macoupin",4193,4,3
St. Augustine,"Illinois, Knox",115,1,5
McLeansboro,"Illinois, Hamilton",2607,2,7
Eldred,"Illinois, Greene",189,1,9
Havana,"Illinois, Mason",3076,3,6
South Holland,"Illinois, Cook",21732,2,2
Nelson,"Illinois, Lee",161,1,1
Boody,"Illinois, Macon",304,3,4
Glenview,"Illinois, Cook",47659,4,9
Sadorus,"Illinois, Champaign",403,4,3
Lake Ka-Ho,"Illinois, Macoupin",225,2,5
Jerome,"Illinois, Sangamon",1607,1,7
Rock Island Arsenal,"Illinois, Rock Island",52,5,2
Hollowayville,"Illinois, Bureau",80,8,0
Bismarck,"Illinois, Vermilion",551,5,1
Farmington,"Illinois, Fulton",2280,2,0
Wyoming,"Illinois, Stark",1295,1,5
Ashkum,"Illinois, Iroquois",715,7,5
Lakewood,"Illinois, McHenry",3928,3,8
De Land,"Illinois, Piatt",430,4,0
Cowden,"Illinois, Shelby",580,5,0
Alma,"Illinois, Marion",309,3,9
Worden,"Illinois, Madison",1030,1,0
Bridgeport,"Illinois, Lawrence",1741,1,1
Sciota,"Illinois, McDonough",58,5,8
Fieldon,"Illinois, Jersey",221,2,1
Donovan,"Illinois, Iroquois",284,2,4
Tolono,"Illinois, Champaign",3449,3,9
Pinckneyville,"Illinois, Perry",5413,5,3
Prophetstown,"Illinois, Whiteside",1974,1,4
Oreana,"Illinois, Macon",824,8,4
Lynwood,"Illinois, Cook",9279,9,9
Makanda,"Illinois, Jackson",540,5,0
McNabb,"Illinois, Putnam",264,2,4
Batchtown,"Illinois, Calhoun",202,2,2
Magnolia,"Illinois, Putnam",249,2,9
East Galesburg,"Illinois, Knox",788,7,8
Greenville,"Illinois, Bond",6738,6,8
Cobden,"Illinois, Union",1101,1,1
Richton Park,"Illinois, Cook",13505,1,5
Thawville,"Illinois, Iroquois",253,2,3
Berkeley,"Illinois, Cook",5130,5,0
Braceville,"Illinois, Grundy",761,7,1
El Dara,"Illinois, Pike",75,7,5
Dowell,"Illinois, Jackson",388,3,8
Raritan,"Illinois, Henderson",124,1,4
Seatonville,"Illinois, Bureau",301,3,1
Southern View,"Illinois, Sangamon",1599,1,9
Blandinsville,"Illinois, McDonough",611,6,1
Irvington,"Illinois, Washington",624,6,4
O'Fallon,"Illinois, St. Clair",29272,2,2
Florence,"Illinois, Pike",38,3,8
Good Hope,"Illinois, McDonough",372,3,2
Johnsburg,"Illinois, McHenry",6317,6,7
Maroa,"Illinois, Macon",1730,1,0
Hindsboro,"Illinois, Douglas",303,3,3
Pearl,"Illinois, Pike",132,1,2
Petersburg,"Illinois, Menard",3030,3,0
Chestnut,"Illinois, Logan",117,1,7
Carol Stream,"Illinois, DuPage",39989,3,9
Diamond,"Illinois, Grundy",2508,2,8
St. Charles,"Illinois, Kane",32714,3,4
Inverness,"Illinois, Cook",7508,7,8
Hoffman,"Illinois, Clinton",486,4,6
Macomb,"Illinois, McDonough",18889,1,9
Orland Hills,"Illinois, Cook",7152,7,2
Lemont,"Illinois, Cook",17075,1,5
Thebes,"Illinois, Alexander",352,3,2
Thomasboro,"Illinois, Champaign",1110,1,0
White Heath,"Illinois, Piatt",254,2,4
Blue Island,"Illinois, Cook",23361,2,1
Robinson,"Illinois, Crawford",7628,7,8
Morton Grove,"Illinois, Cook",23142,2,2
Belleville,"Illinois, St. Clair",41649,4,9
Browns,"Illinois, Edwards",129,1,9
Dalzell,"Illinois, Bureau",674,6,4
Elsah,"Illinois, Jersey",630,6,0
Sandwich,"Illinois, DeKalb",7387,7,7
Warrenville,"Illinois, DuPage",13269,1,9
Countryside,"Illinois, Cook",5964,5,4
Downers Grove,"Illinois, DuPage",49540,4,0
Plano,"Illinois, Kendall",11588,1,8
Kempton,"Illinois, Ford",213,2,3
Oak Forest,"Illinois, Cook",27685,2,5
North Pekin,"Illinois, Tazewell",1547,1,7
Woodland,"Illinois, Iroquois",309,3,9
Auburn,"Illinois, Sangamon",4376,4,6
Wyanet,"Illinois, Bureau",943,9,3
Wheeling,"Illinois, Cook",38562,3,2
Thomson,"Illinois, Carroll",561,5,1
Menominee,"Illinois, Jo Daviess",246,2,6
Oak Grove,"Illinois, Rock Island",593,5,3
Olmsted,"Illinois, Pulaski",298,2,8
West City,"Illinois, Franklin",650,6,0
Humboldt,"Illinois, Coles",424,4,4
Hinckley,"Illinois, DeKalb",2048,2,8
St. Francisville,"Illinois, Lawrence",643,6,3
Odin,"Illinois, Marion",1032,1,2
Chicago,"Illinois, Cook",8675982,8,2
Pleasant Plains,"Illinois, Sangamon",800,8,0
La Moille,"Illinois, Bureau",691,6,1
Minooka,"Illinois, Grundy",11307,1,7
White City,"Illinois, Macoupin",227,2,7
Rutland,"Illinois, LaSalle",308,3,8
Genoa,"Illinois, DeKalb",6446,6,6
Darmstadt,"Illinois, St. Clair",0,0,0
Energy,"Illinois, Williamson",1130,1,0
Gilberts,"Illinois, Kane",8073,8,3
Gifford,"Illinois, Champaign",1083,1,3
Crainville,"Illinois, Williamson",1411,1,1
Hazel Crest,"Illinois, Cook",13837,1,7
Orient,"Illinois, Franklin",347,3,7
West Point,"Illinois, Hancock",168,1,8
Perry,"Illinois, Pike",387,3,7
Quincy,"Illinois, Adams",44860,4,0
Sauget,"Illinois, St. Clair",149,1,9
Broadview,"Illinois, Cook",7781,7,1
Greenup,"Illinois, Cumberland",1490,1,0
Matherville,"Illinois, Mercer",672,6,2
St. Elmo,"Illinois, Fayette",1384,1,4
Fairview Heights,"Illinois, St. Clair",16588,1,8
Antioch,"Illinois, Lake",14235,1,5
Grand Tower,"Illinois, Jackson",574,5,4
Meredosia,"Illinois, Morgan",987,9,7
Peoria Heights,"Illinois, Peoria",5858,5,8
Grandwood Park,"Illinois, Lake",5335,5,5
Kaskaskia,"Illinois, Randolph",13,1,3
Tovey,"Illinois, Christian",486,4,6
Stewardson,"Illinois, Shelby",723,7,3
Hebron,"Illinois, McHenry",1200,1,0
Creal Springs,"Illinois, Williamson",535,5,5
Crossville,"Illinois, White",702,7,2
Arlington,"Illinois, Bureau",184,1,4
Assumption,"Illinois, Christian",1093,1,3
Yates City,"Illinois, Knox",663,6,3
Bowen,"Illinois, Hancock",465,4,5
Willow Springs,"Illinois, Cook",5643,5,3
Grand Detour,"Illinois, Ogle",507,5,7
Green Oaks,"Illinois, Lake",3862,3,2
Table Grove,"Illinois, Fulton",389,3,9
Port Barrington,"Illinois, McHenry",1498,1,8
Kangley,"Illinois, LaSalle",236,2,6
East Hazel Crest,"Illinois, Cook",1527,1,7
Venedy,"Illinois, Washington",133,1,3
Dana,"Illinois, LaSalle",154,1,4
Golconda,"Illinois, Pope",644,6,4
Campbell Hill,"Illinois, Jackson",314,3,4
Bethalto,"Illinois, Madison",9327,9,7
Flanagan,"Illinois, Livingston",1069,1,9
Johnston City,"Illinois, Williamson",3530,3,0
Fairbury,"Illinois, Livingston",3621,3,1
Wamac,"Illinois, Clinton",1135,1,5
Coalton,"Illinois, Montgomery",290,2,0
Rochester,"Illinois, Sangamon",3729,3,9
Lerna,"Illinois, Coles",277,2,7
Cooksville,"Illinois, McLean",179,1,9
Rapids City,"Illinois, Rock Island",966,9,6
Dayton,"Illinois, LaSalle",464,4,4
Mount Morris,"Illinois, Ogle",3259,3,9
Brooklyn,"Illinois, St. Clair",711,7,1
Alpha,"Illinois, Henry",646,6,6
Pingree Grove,"Illinois, Kane",8165,8,5
Omaha,"Illinois, Gallatin",241,2,1
Norris,"Illinois, Fulton",205,2,5
Huntley,"Illinois, McHenry",27207,2,7
Pekin,"Illinois, Tazewell",32731,3,1
Chester,"Illinois, Randolph",8378,8,8
Golf,"Illinois, Cook",498,4,8
Hillside,"Illinois, Cook",8043,8,3
Annawan,"Illinois, Henry",855,8,5
Ridge Farm,"Illinois, Vermilion",835,8,5
Roselle,"Illinois, DuPage",22794,2,4
Justice,"Illinois, Cook",12836,1,6
Wayne,"Illinois, DuPage",2439,2,9
Lake Catherine,"Illinois, Lake",1761,1,1
Lombard,"Illinois, DuPage",43745,4,5
Washington Park,"Illinois, St. Clair",3933,3,3
Gibson City,"Illinois, Ford",3508,3,8
Camargo,"Illinois, Douglas",455,4,5
Stronghurst,"Illinois, Henderson",806,8,6
McHenry,"Illinois, McHenry",26911,2,1
Emden,"Illinois, Logan",472,4,2
Hardin,"Illinois, Calhoun",922,9,2
Goofy Ridge,"Illinois, Mason",165,1,5
Roxana,"Illinois, Madison",1465,1,5
Bondville,"Illinois, Champaign",446,4,6
Lost Nation,"Illinois, Ogle",693,6,3
Sycamore,"Illinois, DeKalb",18022,1,2
Byron,"Illinois, Ogle",6783,6,3
Dakota,"Illinois, Stephenson",474,4,4
Westville,"Illinois, Vermilion",3039,3,9
Lisbon,"Illinois, Kendall",317,3,7
Thayer,"Illinois, Sangamon",668,6,8
Prairie Grove,"Illinois, McHenry",1870,1,0
Valley City,"Illinois, Pike",12,1,2
Symerton,"Illinois, Will",89,8,9
Elkville,"Illinois, Jackson",881,8,1
Argenta,"Illinois, Macon",898,8,8
Swansea,"Illinois, St. Clair",13518,1,8
Wilmette,"Illinois, Cook",27418,2,8
Nashville,"Illinois, Washington",3037,3,7
Dunfermline,"Illinois, Fulton",278,2,8
Broughton,"Illinois, Hamilton",188,1,8
Machesney Park,"Illinois, Winnebago",22733,2,3
Chatsworth,"Illinois, Livingston",1128,1,8
Kankakee,"Illinois, Kankakee",78001,7,1
Algonquin,"Illinois, McHenry",31017,3,7
Malden,"Illinois, Bureau",347,3,7
Forsyth,"Illinois, Macon",3529,3,9
Homer Glen,"Illinois, Will",24591,2,1
Prairie City,"Illinois, McDonough",357,3,7
Mokena,"Illinois, Will",20293,2,3
Panola,"Illinois, Woodford",50,5,0
Tennessee,"Illinois, McDonough",109,1,9
Bellwood,"Illinois, Cook",19019,1,9
Mettawa,"Illinois, Lake",551,5,1
Shorewood,"Illinois, Will",17249,1,9
Dorchester,"Illinois, Macoupin",142,1,2
Pittsfield,"Illinois, Pike",4394,4,4
Niles,"Illinois, Cook",29482,2,2
Wheeler,"Illinois, Jasper",145,1,5
Tower Hill,"Illinois, Shelby",588,5,8
Martinsville,"Illinois, Clark",1119,1,9
Hainesville,"Illinois, Lake",3645,3,5
Leland,"Illinois, LaSalle",928,9,8
East Brooklyn,"Illinois, Grundy",100,1,0
Calumet Park,"Illinois, Cook",7757,7,7
Holiday Shores,"Illinois, Madison",2810,2,0
Kingston Mines,"Illinois, Peoria",289,2,9
Oakford,"Illinois, Menard",276,2,6
Beach Park,"Illinois, Lake",13995,1,5
Lomax,"Illinois, Henderson",414,4,4
South Jacksonville,"Illinois, Morgan",3165,3,5
Albany,"Illinois, Whiteside",879,8,9
Dieterich,"Illinois, Effingham",607,6,7
Keyesport,"Illinois, Clinton",403,4,3
Viola,"Illinois, Mercer",899,8,9
Carbondale,"Illinois, Jackson",67807,6,7
Watseka,"Illinois, Iroquois",4732,4,2
Monticello,"Illinois, Piatt",5417,5,7
Bartlett,"Illinois, Cook",41149,4,9
La Grange Park,"Illinois, Cook",13433,1,3
Brussels,"Illinois, Calhoun",134,1,4
Chicago Heights,"Illinois, Cook",29901,2,1
Chicago Ridge,"Illinois, Cook",14186,1,6
Indian Creek,"Illinois, Lake",536,5,6
Sims,"Illinois, Wayne",248,2,8
Dolton,"Illinois, Cook",22793,2,3
Kinmundy,"Illinois, Marion",769,7,9
Strasburg,"Illinois, Shelby",442,4,2
Forrest,"Illinois, Livingston",1159,1,9
Elizabethtown,"Illinois, Hardin",284,2,4
Sparta,"Illinois, Randolph",4083,4,3
Toulon,"Illinois, Stark",1177,1,7
Stillman Valley,"Illinois, Ogle",1054,1,4
Plainfield,"Illinois, Will",43926,4,6
Dixon,"Illinois, Lee",16288,1,8
Huey,"Illinois, Clinton",162,1,2
Phillipstown,"Illinois, White",42,4,2
Jonesboro,"Illinois, Union",1723,1,3
Jacksonville,"Illinois, Morgan",21512,2,2
Coulterville,"Illinois, Randolph",902,9,2
Arthur,"Illinois, Douglas",2253,2,3
Olney,"Illinois, Richland",9002,9,2
Girard,"Illinois, Macoupin",2015,2,5
Cabery,"Illinois, Ford",248,2,8
Ste. Marie,"Illinois, Jasper",239,2,9
Moline,"Illinois, Rock Island",42231,4,1
Wataga,"Illinois, Knox",800,8,0
Hawthorn Woods,"Illinois, Lake",8412,8,2
Olive Branch,"Illinois, Alexander",506,5,6
Union Hill,"Illinois, Kankakee",56,5,6
Newark,"Illinois, Kendall",1030,1,0
Preston Heights,"Illinois, Will",2817,2,7
Brookfield,"Illinois, Cook",18694,1,4
Anna,"Illinois, Union",5729,5,9
Palmer,"Illinois, Christian",214,2,4
Allendale,"Illinois, Wabash",460,4,0
Mount Carmel,"Illinois, Wabash",6987,6,7
Norridge,"Illinois, Cook",14437,1,7
Lake Bluff,"Illinois, Lake",5662,5,2
Crescent City,"Illinois, Iroquois",574,5,4
Dwight,"Illinois, Livingston",5073,5,3
Clinton,"Illinois, De Witt",8200,8,0
Greenfield,"Illinois, Greene",1004,1,4
Franklin Grove,"Illinois, Lee",957,9,7
Hometown,"Illinois, Cook",4274,4,4
West Peoria,"Illinois, Peoria",4566,4,6
Fairfield,"Illinois, Wayne",4917,4,7
Smithton,"Illinois, St. Clair",3841,3,1
Coatsburg,"Illinois, Adams",143,1,3
Vienna,"Illinois, Johnson",1687,1,7
La Grange,"Illinois, Cook",15581,1,1
Fairmont City,"Illinois, St. Clair",2486,2,6
Metcalf,"Illinois, Edgar",176,1,6
River Forest,"Illinois, Cook",11132,1,2
Hoffman Estates,"Illinois, Cook",51567,5,7
Old Shawneetown,"Illinois, Gallatin",177,1,7
McClure,"Illinois, Alexander",325,3,5
Lewistown,"Illinois, Fulton",2207,2,7
Mineral,"Illinois, Bureau",226,2,6
Adair,"Illinois, McDonough",111,1,1
Riverton,"Illinois, Sangamon",3431,3,1
Brocton,"Illinois, Edgar",295,2,5
LaPlace,"Illinois, Piatt",193,1,3
Hurst,"Illinois, Williamson",790,7,0
Morrisonville,"Illinois, Christian",1016,1,6
Matteson,"Illinois, Cook",19418,1,8
Venetian Village,"Illinois, Lake",3135,3,5
Cleveland,"Illinois, Henry",181,1,1
Armington,"Illinois, Tazewell",325,3,5
Cedarville,"Illinois, Stephenson",697,6,7
Schram City,"Illinois, Montgomery",557,5,7
Mount Auburn,"Illinois, Christian",460,4,0
Garden Prairie,"Illinois, Boone",221,2,1
Lake of the Woods,"Illinois, Champaign",2620,2,0
Carbon Hill,"Illinois, Grundy",338,3,8
Woodridge,"Illinois, DuPage",33598,3,8
Manhattan,"Illinois, Will",7776,7,6
Lena,"Illinois, Stephenson",2457,2,7
Monmouth,"Illinois, Warren",9293,9,3
Kansas,"Illinois, Edgar",728,7,8
Waukegan,"Illinois, Lake",87729,8,9
Fisher,"Illinois, Champaign",1961,1,1
New Salem,"Illinois, Pike",131,1,1
Manito,"Illinois, Mason",1525,1,5
Shumway,"Illinois, Effingham",198,1,8
Freeburg,"Illinois, St. Clair",4262,4,2
Westmont,"Illinois, DuPage",24756,2,6
East Dundee,"Illinois, Kane",3192,3,2
Summit,"Illinois, Cook",11278,1,8
Ashton,"Illinois, Lee",907,9,7
Fayetteville,"Illinois, St. Clair",341,3,1
Cerro Gordo,"Illinois, Piatt",1339,1,9
Buffalo,"Illinois, Sangamon",485,4,5
Garrett,"Illinois, Douglas",161,1,1
Albion,"Illinois, Edwards",1918,1,8
Hampton,"Illinois, Rock Island",1814,1,4
Mount Sterling,"Illinois, Brown",3879,3,9
Alvan,"Illinois, Vermilion",259,2,9
Baylis,"Illinois, Pike",198,1,8
East Moline,"Illinois, Rock Island",21109,2,9
Bannockburn,"Illinois, Lake",1579,1,9
Nason,"Illinois, Jefferson",232,2,2
De Pue,"Illinois, Bureau",1719,1,9
Staunton,"Illinois, Macoupin",5950,5,0
University Park,"Illinois, Cook",7006,7,6
Otterville,"Illinois, Jersey",117,1,7
Roodhouse,"Illinois, Greene",1706,1,6
Dunlap,"Illinois, Peoria",1434,1,4
Dahlgren,"Illinois, Hamilton",507,5,7
Bryant,"Illinois, Fulton",215,2,5
Bardolph,"Illinois, McDonough",239,2,9
Momence,"Illinois, Kankakee",3592,3,2
West Salem,"Illinois, Edwards",866,8,6
Sherrard,"Illinois, Mercer",598,5,8
Bloomingdale,"Illinois, DuPage",22016,2,6
Rock City,"Illinois, Stephenson",299,2,9
Millstadt,"Illinois, St. Clair",3460,3,0
Carthage,"Illinois, Hancock",2461,2,1
Farmersville,"Illinois, Montgomery",689,6,9
Richmond,"Illinois, McHenry",1920,1,0
Plainville,"Illinois, Adams",255,2,5
South Barrington,"Illinois, Cook",4981,4,1
East Carondelet,"Illinois, St. Clair",474,4,4
Lily Lake,"Illinois, Kane",1041,1,1
Ursa,"Illinois, Adams",610,6,0
Cordova,"Illinois, Rock Island",655,6,5
Lee,"Illinois, Lee",334,3,4
La Prairie,"Illinois, Adams",46,4,6
Pontoon Beach,"Illinois, Madison",5664,5,4
Alhambra,"Illinois, Madison",661,6,1
Joppa,"Illinois, Massac",331,3,1
Ramsey,"Illinois, Fayette",1015,1,5
Manlius,"Illinois, Bureau",340,3,0
Okawville,"Illinois, Washington",1376,1,6
Litchfield,"Illinois, Montgomery",6810,6,0
Orland Park,"Illinois, Cook",58765,5,5
Jeffersonville,"Illinois, Wayne",363,3,3
Ashland,"Illinois, Cass",1219,1,9
De Soto,"Illinois, Jackson",1541,1,1
Volo,"Illinois, Lake",5462,5,2
Mazon,"Illinois, Grundy",971,9,1
Lima,"Illinois, Adams",157,1,7
Coleta,"Illinois, Whiteside",157,1,7
Hudson,"Illinois, McLean",1825,1,5
Butler,"Illinois, Montgomery",172,1,2
Midlothian,"Illinois, Cook",14634,1,4
Edgewood,"Illinois, Effingham",430,4,0
Bellmont,"Illinois, Wabash",268,2,8
Astoria,"Illinois, Fulton",1070,1,0
Pontoosuc,"Illinois, Hancock",138,1,8
Oak Run,"Illinois, Knox",524,5,4
Pocahontas,"Illinois, Bond",739,7,9
Palmyra,"Illinois, Macoupin",667,6,7
Maquon,"Illinois, Knox",274,2,4
DeKalb,"Illinois, DeKalb",67500,6,0
Reynolds,"Illinois, Rock Island",517,5,7
Stoy,"Illinois, Crawford",109,1,9
Sublette,"Illinois, Lee",426,4,6
Hanover Park,"Illinois, DuPage",37982,3,2
Bushnell,"Illinois, McDonough",2872,2,2
Tonica,"Illinois, LaSalle",728,7,8
Hampshire,"Illinois, Kane",5270,5,0
Forreston,"Illinois, Ogle",1362,1,2
Secor,"Illinois, Woodford",361,3,1
Capron,"Illinois, Boone",1355,1,5
Mount Vernon,"Illinois, Jefferson",15672,1,2
Seaton,"Illinois, Mercer",204,2,4
Hoopeston,"Illinois, Vermilion",4887,4,7
Gardner,"Illinois, Grundy",1401,1,1
Spaulding,"Illinois, Sangamon",863,8,3
Old Ripley,"Illinois, Bond",101,1,1
Western Springs,"Illinois, Cook",13479,1,9
Sigel,"Illinois, Shelby",355,3,5
Campton Hills,"Illinois, Kane",11282,1,2
Divernon,"Illinois, Sangamon",1130,1,0
Beecher City,"Illinois, Effingham",457,4,7
Martinton,"Illinois, Iroquois",356,3,6
Naplate,"Illinois, LaSalle",476,4,6
Gages Lake,"Illinois, Lake",10042,1,2
Bensenville,"Illinois, DuPage",18330,1,0
Warren,"Illinois, Jo Daviess",1332,1,2
La Harpe,"Illinois, Hancock",1170,1,0
Lake Villa,"Illinois, Lake",8716,8,6
Berwyn,"Illinois, Cook",55550,5,0
Woodson,"Illinois, Morgan",490,4,0
