region,candidate,number,first,last
Vermont,McKinney,66,6,6
Vermont,Others votes,1904,1,4
Virginia,Obama,1959532,1,2
Virginia,McCain,1725005,1,5
Virginia,Nader,11483,1,3
Virginia,Barr,11067,1,7
Virginia,Baldwin,7474,7,4
Virginia,McKinney,2344,2,4
Virginia,Others votes,6355,6,5
Washington,Obama,1750848,1,8
Washington,McCain,1229216,1,6
Washington,Nader,29489,2,9
Washington,Barr,12728,1,8
Washington,Baldwin,9432,9,2
Washington,McKinney,3819,3,9
Washington,Others votes,1346,1,6
West Virginia,Obama,303857,3,7
West Virginia,McCain,397466,3,6
West Virginia,Nader,7219,7,9
West Virginia,Baldwin,2465,2,5
West Virginia,McKinney,2355,2,5
West Virginia,Others votes,89,8,9
Wisconsin,Obama,1677211,1,1
Wisconsin,McCain,1262393,1,3
Wisconsin,Nader,17605,1,5
Wisconsin,Barr,8858,8,8
Wisconsin,Baldwin,5072,5,2
Wisconsin,McKinney,4216,4,6
Wisconsin,Others votes,8062,8,2
Wyoming,Obama,82868,8,8
Wyoming,McCain,164958,1,8
Wyoming,Nader,2525,2,5
Wyoming,Barr,1594,1,4
Wyoming,Baldwin,1192,1,2
Wyoming,Others votes,1521,1,1
