country,region,candidate,number,first,last
US,New Jersey,Barr,8441,8,1
US,New Jersey,Baldwin,3956,3,6
US,New Jersey,McKinney,3636,3,6
US,New Jersey,Others votes,2277,2,7
US,New Mexico,Obama,472422,4,2
US,New Mexico,McCain,346832,3,2
US,New Mexico,Nader,5327,5,7
US,New Mexico,Barr,2428,2,8
US,New Mexico,Baldwin,1597,1,7
US,New Mexico,McKinney,1552,1,2
US,New York,Obama,4804701,4,1
US,New York,McCain,2752728,2,8
US,New York,Nader,41248,4,8
US,New York,Barr,19595,1,5
US,New York,Baldwin,634,6,4
US,New York,McKinney,12801,1,1
US,New York,Others votes,8936,8,6
US,North Carolina,Obama,2142651,2,1
US,North Carolina,McCain,2128474,2,4
US,North Carolina,Nader,1448,1,8
US,North Carolina,Barr,25722,2,2
US,North Carolina,McKinney,158,1,8
US,North Carolina,Others votes,13942,1,2
US,North Dakota,Obama,141278,1,8
US,North Dakota,McCain,168601,1,1
US,North Dakota,Nader,4189,4,9
US,North Dakota,Barr,1354,1,4
US,North Dakota,Baldwin,1199,1,9
US,Ohio,Obama,2940044,2,4
US,Ohio,McCain,2677820,2,0
US,Ohio,Nader,42337,4,7
US,Ohio,Barr,19917,1,7
US,Ohio,Baldwin,12565,1,5
US,Ohio,McKinney,8518,8,8
US,Ohio,Others votes,7149,7,9
US,Oklahoma,Obama,502496,5,6
US,Oklahoma,McCain,960165,9,5
US,Oregon,Obama,1037291,1,1
US,Oregon,McCain,738475,7,5
US,Oregon,Nader,18614,1,4
US,Oregon,Barr,7635,7,5
US,Oregon,Baldwin,7693,7,3
US,Oregon,McKinney,4543,4,3
US,Oregon,Others votes,13613,1,3
US,Pennsylvania,Obama,3276363,3,3
US,Pennsylvania,McCain,2655885,2,5
US,Pennsylvania,Nader,42977,4,7
US,Pennsylvania,Barr,19912,1,2
US,Pennsylvania,Baldwin,1092,1,2
US,Rhode Island,Obama,296571,2,1
US,Rhode Island,McCain,165391,1,1
US,Rhode Island,Nader,4829,4,9
US,Rhode Island,Barr,1382,1,2
US,Rhode Island,Baldwin,675,6,5
US,Rhode Island,McKinney,797,7,7
US,Rhode Island,Others votes,122,1,2
US,South Carolina,Obama,862449,8,9
US,South Carolina,McCain,1034896,1,6
US,South Carolina,Nader,5053,5,3
US,South Carolina,Barr,7283,7,3
US,South Carolina,Baldwin,6827,6,7
US,South Carolina,McKinney,4461,4,1
US,South Dakota,Obama,170924,1,4
US,South Dakota,McCain,203054,2,4
US,South Dakota,Nader,4267,4,7
US,South Dakota,Barr,1835,1,5
US,South Dakota,Baldwin,1895,1,5
US,Tennessee,Obama,1087437,1,7
US,Tennessee,McCain,1479178,1,8
US,Tennessee,Nader,11560,1,0
US,Tennessee,Barr,8547,8,7
US,Tennessee,Baldwin,8191,8,1
US,Tennessee,McKinney,2499,2,9
US,Tennessee,Others votes,2337,2,7
US,Texas,Obama,3528633,3,3
US,Texas,McCain,4479328,4,8
US,Texas,Nader,5440,5,0
US,Texas,Barr,56116,5,6
US,Texas,Baldwin,5395,5,5
US,Texas,McKinney,831,8,1
US,Texas,Others votes,2781,2,1
US,Utah,Obama,327670,3,0
US,Utah,McCain,596030,5,0
US,Utah,Nader,8416,8,6
US,Utah,Barr,6966,6,6
US,Utah,Baldwin,12012,1,2
US,Utah,McKinney,982,9,2
US,Utah,Others votes,294,2,4
US,Vermont,Obama,219262,2,2
US,Vermont,McCain,98974,9,4
US,Vermont,Nader,3339,3,9
US,Vermont,Barr,1067,1,7
US,Vermont,Baldwin,500,5,0
US,Vermont,McKinney,66,6,6
US,Vermont,Others votes,1904,1,4
US,Virginia,Obama,1959532,1,2
US,Virginia,McCain,1725005,1,5
US,Virginia,Nader,11483,1,3
US,Virginia,Barr,11067,1,7
US,Virginia,Baldwin,7474,7,4
US,Virginia,McKinney,2344,2,4
US,Virginia,Others votes,6355,6,5
US,Washington,Obama,1750848,1,8
US,Washington,McCain,1229216,1,6
US,Washington,Nader,29489,2,9
US,Washington,Barr,12728,1,8
US,Washington,Baldwin,9432,9,2
US,Washington,McKinney,3819,3,9
US,Washington,Others votes,1346,1,6
US,West Virginia,Obama,303857,3,7
US,West Virginia,McCain,397466,3,6
US,West Virginia,Nader,7219,7,9
US,West Virginia,Baldwin,2465,2,5
US,West Virginia,McKinney,2355,2,5
US,West Virginia,Others votes,89,8,9
US,Wisconsin,Obama,1677211,1,1
US,Wisconsin,McCain,1262393,1,3
US,Wisconsin,Nader,17605,1,5
US,Wisconsin,Barr,8858,8,8
US,Wisconsin,Baldwin,5072,5,2
US,Wisconsin,McKinney,4216,4,6
US,Wisconsin,Others votes,8062,8,2
US,Wyoming,Obama,82868,8,8
US,Wyoming,McCain,164958,1,8
US,Wyoming,Nader,2525,2,5
US,Wyoming,Barr,1594,1,4
US,Wyoming,Baldwin,1192,1,2
US,Wyoming,Others votes,1521,1,1
Iran,East Azerbaijan,Ahmadinejad,1131111,1,1
Iran,East Azerbaijan,Rezai,16920,1,0
Iran,East Azerbaijan,Karrubi,7246,7,6
Iran,East Azerbaijan,Mousavi,837858,8,8
Iran,East Azerbaijan,Total votes,2010340,2,0
Iran,East Azerbaijan,Invalid votes,17205,1,5
Iran,East Azerbaijan,Valid votes,1993135,1,5
Iran,East Azerbaijan,Eligible voters,2461553,2,3
Iran,West Azerbaijan,Ahmadinejad,623946,6,6
Iran,West Azerbaijan,Rezai,12199,1,9
Iran,West Azerbaijan,Karrubi,21609,2,9
Iran,West Azerbaijan,Mousavi,656508,6,8
Iran,West Azerbaijan,Total votes,1334356,1,6
Iran,West Azerbaijan,Invalid votes,20094,2,4
Iran,West Azerbaijan,Valid votes,1314262,1,2
Iran,West Azerbaijan,Eligible voters,1883144,1,4
Iran,Ardabil,Ahmadinejad,325911,3,1
Iran,Ardabil,Rezai,6578,6,8
