agedays,sex,mean,sd,cv,l
158,Female,64.3699,2.226554841,0.03459,1
159,Female,64.4276,2.228550684,0.03459,1
160,Female,64.485,2.2298913,0.03458,1
161,Female,64.5422,2.2312238539999996,0.03457,1
162,Female,64.5991,2.233190887,0.03457,1
163,Female,64.6559,2.234507904,0.03456,1
164,Female,64.7124,2.2364605440000003,0.03456,1
165,Female,64.7688,2.23776204,0.03455,1
166,Female,64.8249,2.239700295,0.03455,1
167,Female,64.8808,2.240982832,0.03454,1
168,Female,64.9366,2.242910164,0.03454,1
169,Female,64.9921,2.2441772129999995,0.03453,1
170,Female,65.0474,2.246086722,0.03453,1
171,Female,65.1026,2.2479927779999995,0.03453,1
172,Female,65.1576,2.249240352,0.03452,1
173,Female,65.2123,2.251128596,0.03452,1
174,Female,65.267,2.25236417,0.03451,1
175,Female,65.3214,2.254241514,0.03451,1
176,Female,65.3757,2.25546165,0.0345,1
177,Female,65.4298,2.2573281,0.0345,1
178,Female,65.4837,2.2591876500000003,0.0345,1
179,Female,65.5375,2.260388375,0.03449,1
180,Female,65.5911,2.262237039,0.03449,1
181,Female,65.6445,2.2640788049999996,0.03449,1
182,Female,65.6978,2.265260144,0.03448,1
183,Female,65.751,2.26709448,0.03448,1
184,Female,65.804,2.26826388,0.03447,1
185,Female,65.8568,2.2700838960000005,0.03447,1
186,Female,65.9095,2.271900465,0.03447,1
187,Female,65.9621,2.2737135870000005,0.03447,1
188,Female,66.0145,2.2748596699999997,0.03446,1
189,Female,66.0668,2.276661928,0.03446,1
190,Female,66.1189,2.278457294,0.03446,1
191,Female,66.1709,2.2795875050000003,0.03445,1
192,Female,66.2228,2.2813754600000005,0.03445,1
193,Female,66.2745,2.2831565250000003,0.03445,1
194,Female,66.3261,2.2842708839999997,0.03444,1
195,Female,66.3776,2.286044544,0.03444,1
196,Female,66.429,2.28781476,0.03444,1
197,Female,66.4802,2.289578088,0.03444,1
198,Female,66.5313,2.291337972,0.03444,1
199,Female,66.5823,2.2924285890000005,0.03443,1
200,Female,66.6331,2.2941776330000003,0.03443,1
201,Female,66.6839,2.2959266769999997,0.03443,1
202,Female,66.7345,2.297668835,0.03443,1
203,Female,66.785,2.2987396999999996,0.03442,1
204,Female,66.8354,2.300474468,0.03442,1
205,Female,66.8857,2.302205794,0.03442,1
206,Female,66.9359,2.303933678,0.03442,1
207,Female,66.9859,2.305654678,0.03442,1
208,Female,67.0359,2.307375678,0.03442,1
209,Female,67.0858,2.3084223780000004,0.03441,1
210,Female,67.1355,2.310132555,0.03441,1
211,Female,67.1852,2.311842732,0.03441,1
212,Female,67.2347,2.313546027,0.03441,1
213,Female,67.2842,2.315249322,0.03441,1
214,Female,67.3335,2.3169457350000005,0.03441,1
215,Female,67.3828,2.3186421480000003,0.03441,1
216,Female,67.432,2.32033512,0.03441,1
217,Female,67.481,2.3213464,0.0344,1
218,Female,67.53,2.323032,0.0344,1
219,Female,67.5789,2.32471416,0.0344,1
220,Female,67.6277,2.32639288,0.0344,1
221,Female,67.6764,2.32806816,0.0344,1
222,Female,67.725,2.3297399999999997,0.0344,1
223,Female,67.7735,2.3314084,0.0344,1
224,Female,67.8219,2.3330733599999998,0.0344,1
225,Female,67.8703,2.33473832,0.0344,1
226,Female,67.9185,2.3363964,0.0344,1
227,Female,67.9667,2.3380544800000003,0.0344,1
228,Female,68.0148,2.3397091199999998,0.0344,1
229,Female,68.0628,2.3413603199999997,0.0344,1
230,Female,68.1107,2.3430080799999997,0.0344,1
231,Female,68.1585,2.3446524,0.0344,1
232,Female,68.2063,2.34629672,0.0344,1
233,Female,68.254,2.3479376000000003,0.0344,1
234,Female,68.3016,2.34957504,0.0344,1
235,Female,68.3491,2.35120904,0.0344,1
236,Female,68.3965,2.3528396000000003,0.0344,1
237,Female,68.4439,2.35447016,0.0344,1
238,Female,68.4911,2.35609384,0.0344,1
239,Female,68.5383,2.35771752,0.0344,1
240,Female,68.5855,2.3593412,0.0344,1
241,Female,68.6325,2.3609579999999997,0.0344,1
242,Female,68.6795,2.3625748,0.0344,1
243,Female,68.7264,2.36418816,0.0344,1
244,Female,68.7732,2.3657980800000002,0.0344,1
245,Female,68.82,2.3674079999999997,0.0344,1
246,Female,68.8666,2.36901104,0.0344,1
247,Female,68.9133,2.37061752,0.0344,1
248,Female,68.9598,2.37221712,0.0344,1
249,Female,69.0063,2.3738167199999998,0.0344,1
250,Female,69.0527,2.37541288,0.0344,1
251,Female,69.099,2.37769659,0.03441,1
252,Female,69.1452,2.3792863320000004,0.03441,1
253,Female,69.1914,2.380876074,0.03441,1
254,Female,69.2376,2.3824658160000003,0.03441,1
255,Female,69.2836,2.3840486760000004,0.03441,1
256,Female,69.3296,2.385631536,0.03441,1
257,Female,69.3755,2.3872109550000005,0.03441,1
258,Female,69.4214,2.3887903740000005,0.03441,1
259,Female,69.4672,2.3903663520000005,0.03441,1
260,Female,69.5129,2.392634018,0.03442,1
261,Female,69.5585,2.3942035699999997,0.03442,1
262,Female,69.6041,2.395773122,0.03442,1
263,Female,69.6496,2.397339232,0.03442,1
264,Female,69.6951,2.398905342,0.03442,1
265,Female,69.7405,2.40046801,0.03442,1
266,Female,69.7858,2.402725094,0.03443,1
267,Female,69.8311,2.4042847730000005,0.03443,1
268,Female,69.8763,2.405841009,0.03443,1
269,Female,69.9215,2.407397245,0.03443,1
270,Female,69.9666,2.408950038,0.03443,1
271,Female,70.0116,2.411199504,0.03444,1
272,Female,70.0566,2.412749304,0.03444,1
273,Female,70.1015,2.41429566,0.03444,1
274,Female,70.1463,2.4158385719999997,0.03444,1
275,Female,70.1911,2.4173814840000003,0.03444,1
276,Female,70.2358,2.41962331,0.03445,1
277,Female,70.2805,2.4211632250000004,0.03445,1
278,Female,70.3251,2.4226996950000004,0.03445,1
279,Female,70.3697,2.424236165,0.03445,1
280,Female,70.4142,2.42576919,0.03445,1
281,Female,70.4586,2.428003356,0.03446,1
282,Female,70.503,2.4295333799999996,0.03446,1
283,Female,70.5474,2.4310634039999997,0.03446,1
284,Female,70.5917,2.432589982,0.03446,1
285,Female,70.6359,2.434819473,0.03447,1
286,Female,70.68,2.4363396,0.03447,1
287,Female,70.7241,2.437859727,0.03447,1
288,Female,70.7682,2.4400875359999996,0.03448,1
289,Female,70.8122,2.441604656,0.03448,1
290,Female,70.8561,2.4431183279999997,0.03448,1
291,Female,70.9,2.444632,0.03448,1
292,Female,70.9439,2.446855111,0.03449,1
293,Female,70.9876,2.448362324,0.03449,1
294,Female,71.0314,2.4498729860000004,0.03449,1
295,Female,71.075,2.4520875,0.0345,1
296,Female,71.1187,2.4535951500000004,0.0345,1
297,Female,71.1622,2.4550959000000003,0.0345,1
298,Female,71.2057,2.45659665,0.0345,1
299,Female,71.2492,2.458809892,0.03451,1
300,Female,71.2926,2.4603076259999996,0.03451,1
301,Female,71.3359,2.4618019089999996,0.03451,1
302,Female,71.3792,2.464009984,0.03452,1
303,Female,71.4224,2.465501248,0.03452,1
304,Female,71.4656,2.466992512,0.03452,1
305,Female,71.5088,2.4691988639999995,0.03453,1
306,Female,71.5518,2.4706836539999997,0.03453,1
307,Female,71.5949,2.4721718969999995,0.03453,1
308,Female,71.6378,2.474369612,0.03454,1
309,Female,71.6808,2.4758548320000004,0.03454,1
310,Female,71.7236,2.477333144,0.03454,1
311,Female,71.7664,2.47952912,0.03455,1
312,Female,71.8092,2.48100786,0.03455,1
313,Female,71.8519,2.483201664,0.03456,1
314,Female,71.8946,2.484677376,0.03456,1
315,Female,71.9372,2.486149632,0.03456,1
316,Female,71.9798,2.4883416859999996,0.03457,1
317,Female,72.0223,2.4898109109999997,0.03457,1
318,Female,72.0647,2.491276679,0.03457,1
319,Female,72.1071,2.493463518,0.03458,1
320,Female,72.1495,2.49492971,0.03458,1
321,Female,72.1918,2.497114362,0.03459,1
322,Female,72.234,2.49857406,0.03459,1
323,Female,72.2762,2.5000337580000003,0.03459,1
324,Female,72.3184,2.50221664,0.0346,1
325,Female,72.3605,2.5036733,0.0346,1
326,Female,72.4025,2.505850525,0.03461,1
327,Female,72.4445,2.5073041450000004,0.03461,1
328,Female,72.4865,2.5087577650000004,0.03461,1
329,Female,72.5284,2.510933208,0.03462,1
330,Female,72.5702,2.512380324,0.03462,1
331,Female,72.612,2.51455356,0.03463,1
332,Female,72.6538,2.5160010940000004,0.03463,1
333,Female,72.6955,2.5181721199999996,0.03464,1
334,Female,72.7372,2.5196166079999998,0.03464,1
335,Female,72.7788,2.5210576319999998,0.03464,1
336,Female,72.8203,2.523223395,0.03465,1
337,Female,72.8618,2.52466137,0.03465,1
338,Female,72.9033,2.5268283780000003,0.03466,1
339,Female,72.9447,2.528263302,0.03466,1
340,Female,72.9861,2.5304280869999998,0.03467,1
341,Female,73.0274,2.531859958,0.03467,1
342,Female,73.0686,2.534019048,0.03468,1
343,Female,73.1099,2.535451332,0.03468,1
344,Female,73.151,2.53760819,0.03469,1
345,Female,73.1922,2.539037418,0.03469,1
346,Female,73.2332,2.5404597079999998,0.03469,1
347,Female,73.2743,2.54261821,0.0347,1
348,Female,73.3152,2.5440374400000003,0.0347,1
349,Female,73.3562,2.546193702,0.03471,1
350,Female,73.3971,2.5476133409999995,0.03471,1
351,Female,73.4379,2.549763888,0.03472,1
352,Female,73.4787,2.551180464,0.03472,1
353,Female,73.5195,2.5533322349999996,0.03473,1
354,Female,73.5602,2.5547457459999996,0.03473,1
355,Female,73.6008,2.556891792,0.03474,1
356,Female,73.6414,2.5583022360000003,0.03474,1
357,Female,73.682,2.5604495000000003,0.03475,1
358,Female,73.7225,2.561856875,0.03475,1
359,Female,73.763,2.56400188,0.03476,1
360,Female,73.8034,2.565406184,0.03476,1
361,Female,73.8438,2.567548926,0.03477,1
362,Female,73.8842,2.5689536340000005,0.03477,1
363,Female,73.9245,2.5710941099999998,0.03478,1
364,Female,73.9647,2.572492266,0.03478,1
365,Female,74.0049,2.5746304710000003,0.03479,1
366,Female,74.0451,2.5760290290000003,0.03479,1
367,Female,74.0852,2.5781649599999996,0.0348,1
368,Female,74.1253,2.57956044,0.0348,1
369,Female,74.1653,2.5816940930000003,0.03481,1
370,Female,74.2053,2.5838285459999994,0.03482,1
371,Female,74.2452,2.5852178639999996,0.03482,1
372,Female,74.2851,2.587350033,0.03483,1
373,Female,74.325,2.5887397500000002,0.03483,1
374,Female,74.3648,2.5908696320000004,0.03484,1
